epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,286.317,0.74161,0.96643,0.7365,0.92561,0.71951,0.9,0.84229,0.67712,0.71951,0.9,0.84229,0.68457,0.68177,0.89399,0.82084,0.90992,0.00138656,0.00138656,0.00138656
32,293.82,0.72609,0.98855,0.71302,0.92354,0.82758,0.83539,0.86675,0.72114,0.82758,0.83539,0.86675,0.71363,0.67771,0.94462,0.70832,0.90135,0.00138514,0.00138514,0.00138514
33,303.784,0.72914,1.00488,0.72803,0.92334,0.80588,0.9041,0.89245,0.74338,0.80879,0.90736,0.89369,0.7394,0.70367,0.95369,0.72925,0.91388,0.00138373,0.00138373,0.00138373
34,311.936,0.72773,1.01674,0.71979,0.91676,0.81263,0.72309,0.83876,0.70806,0.81263,0.72309,0.83981,0.69403,0.67847,0.93062,0.72151,0.91397,0.00138231,0.00138231,0.00138231
35,320.565,0.68457,0.93761,0.68887,0.91122,0.74353,0.84729,0.834,0.69216,0.7468,0.85055,0.835,0.6787,0.66455,0.93483,0.80376,0.90144,0.0013809,0.0013809,0.0013809
36,330.279,0.71894,1.03084,0.72701,0.91279,0.76851,0.89651,0.86074,0.68465,0.77185,0.89978,0.86187,0.67173,0.67386,0.99906,0.75172,0.90585,0.00137949,0.00137949,0.00137949
37,337.648,0.70735,1.01079,0.69795,0.91049,0.82832,0.82187,0.86496,0.70721,0.79443,0.86514,0.86533,0.70391,0.65923,1.01385,0.77187,0.90851,0.00137807,0.00137807,0.00137807
38,346.22,0.70398,0.95403,0.7049,0.91049,0.75876,0.81016,0.87771,0.73081,0.75876,0.81016,0.87771,0.73376,0.64541,0.91215,0.80896,0.90223,0.00137666,0.00137666,0.00137666
39,356.362,0.70167,0.96129,0.70166,0.91288,0.80157,0.86031,0.89851,0.76499,0.80157,0.86031,0.89977,0.75447,0.66391,0.89471,0.76677,0.90065,0.00137524,0.00137524,0.00137524
40,363.369,0.71792,0.99271,0.68592,0.91013,0.77757,0.87725,0.91568,0.78469,0.77757,0.87725,0.91568,0.78896,0.66303,0.85327,0.70554,0.89534,0.00137383,0.00137383,0.00137383
41,372.433,0.69607,0.98602,0.66891,0.90832,0.84716,0.81115,0.90374,0.75735,0.84716,0.81115,0.90374,0.7753,0.64997,0.87995,0.68854,0.89468,0.00137241,0.00137241,0.00137241
42,381.579,0.70368,0.97928,0.69149,0.91207,0.78924,0.79949,0.84225,0.70821,0.78924,0.79949,0.84225,0.72755,0.65741,0.85742,0.77981,0.89884,0.001371,0.001371,0.001371
43,390.284,0.69235,0.98581,0.67091,0.90292,0.87239,0.81142,0.91341,0.77243,0.87239,0.81142,0.91341,0.75453,0.64755,0.9201,0.72807,0.91297,0.00136958,0.00136958,0.00136958
44,399.033,0.69007,0.97645,0.67937,0.90348,0.85213,0.8922,0.91254,0.79051,0.85526,0.89547,0.91499,0.75248,0.64621,1.03435,0.71187,0.91761,0.00136817,0.00136817,0.00136817
45,406.523,0.68056,0.93472,0.67266,0.90316,0.74199,0.90491,0.86338,0.73436,0.74468,0.90802,0.86538,0.72152,0.63304,0.91938,0.72721,0.90246,0.00136675,0.00136675,0.00136675
46,414.97,0.67975,0.96432,0.67707,0.90577,0.84009,0.85201,0.8867,0.74732,0.84009,0.85201,0.8869,0.73236,0.61992,0.94012,0.73435,0.88858,0.00136534,0.00136534,0.00136534
